sp_ives	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	npp	humid	pevapo	soilmoist	gdd	evapo
Sapajus_apella_11	1.141101615	-1.021262457	1.071197981	-1.12211462	0.633799884	1.549231647	-1.409710737	0.650474074	1.459873121	1.059630689	1.292088987	0.778089012	0.783334025	0.038711736	-0.026808654	0.841179079	0.186906846	-1.297714976	1.749351995	0.155795172	1.332404021	1.594402638	0.05092957	0.997258883	1.454401639
Sapajus_apella_12	1.077468863	-1.218475578	0.984839139	-1.113256343	0.429020873	1.533791547	-1.530164445	0.573202078	1.424817644	0.932266166	1.256638559	0.397668156	0.568757378	-0.08729117	0.130310275	0.547975394	0.032737721	-1.426765037	0.359178801	0.155795172	1.498205421	0.913648988	0.198998199	0.806242033	0.844595282
Sapajus_apella_13	1.337674059	-1.114688751	1.162997421	-1.165092709	0.711074949	1.682674066	-1.515762717	0.898910242	1.5974299	1.303399827	1.431436761	1.083745076	0.711808476	1.172737898	-0.642006622	0.674356293	1.083014887	-0.9260508	1.815251853	0.431777028	1.000801221	1.98290438	0.254485903	1.120161196	2.159038054
Sapajus_apella_14	1.337674059	-1.114688751	1.162997421	-1.165092709	0.711074949	1.682674066	-1.515762717	0.898910242	1.5974299	1.303399827	1.431436761	1.083745076	0.711808476	1.172737898	-0.642006622	0.674356293	1.083014887	-0.9260508	1.815251853	0.431777028	1.000801221	1.98290438	0.254485903	1.120161196	2.159038054
Sapajus_apella_15	0.474662686	-0.449071649	1.317881942	-1.311060815	0.09480618	0.955908118	-1.070605249	-0.189140239	0.972173309	0.140490066	0.827446931	0.687931468	1.355538418	-0.118791897	0.438354601	1.06360946	0.00383101	-1.473223059	1.92508495	0.226045085	1.332404021	0.751508052	0.150285094	0.835857049	0.706503685
Sapajus_apella_16	1.06400163	-0.831683358	1.03422945	-1.168217364	0.587434478	1.387115054	-1.248668359	0.548274781	1.262455929	0.939446982	1.235234982	0.685732504	0.583062488	0.479721911	-0.348460768	0.512588743	0.649414222	-1.049938859	1.601861837	0.271205762	1.498205421	1.475503892	0.017444016	0.964682366	1.443260198
Sapajus_apella_17	1.06400163	-0.831683358	1.03422945	-1.168217364	0.587434478	1.387115054	-1.248668359	0.548274781	1.262455929	0.939446982	1.235234982	0.685732504	0.583062488	0.479721911	-0.348460768	0.512588743	0.649414222	-1.049938859	1.601861837	0.271205762	1.498205421	1.475503892	0.017444016	0.964682366	1.443260198
Sapajus_apella_18	0.814995029	0.060592455	1.662313812	-1.389451461	0.316971755	0.884224002	-0.834933976	0.524594331	0.84650697	0.420162182	1.049958253	1.908356758	1.040826002	0.920732085	-0.768976898	1.270874133	1.092650457	0.829030031	-0.15232962	0.717794456	1.664006821	0.523231139	1.56620199	0.815126538	1.346326306
Sapajus_apella_19	0.497588937	-0.077002485	1.533330065	-1.311846502	-0.108041093	0.681302965	-0.882067981	0.179359862	0.584924336	0.024841266	0.76546561	1.589506907	0.540147158	0.731727724	-0.854157842	0.679411529	0.977023613	1.407174305	-0.189986682	1.053990653	1.664006821	0.599541527	1.448521911	0.745531252	1.388202234
Sapajus_apella_20	0.497588937	-0.077002485	1.533330065	-1.311846502	-0.108041093	0.681302965	-0.882067981	0.179359862	0.584924336	0.024841266	0.76546561	1.589506907	0.540147158	0.731727724	-0.854157842	0.679411529	0.977023613	1.407174305	-0.189986682	1.053990653	1.664006821	0.599541527	1.448521911	0.745531252	1.388202234
