id;sp;sp_ives;lat;long;biome;fac;pch;CS;LogCS;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist
51;Sapajus_nigritus;Sapajus_nigritus_3;-21.8217;-42.5932;Forest;AF;19;8.7199;2.1656;21.9093;12.136;62.0831;239.0095;31.076;11.528;19.548;24.472;18.796;24.782;18.796;1294;256;18;76.954;650;60;536;60;0.98;79;103.4162
52;Sapajus_nigritus;Sapajus_nigritus_2;-19.8457;-40.552;Forest;AF;19;9.8188;2.2788;19.0312;9.8657;62.5518;196.6888;26.4;10.628;15.772;20.56;17.0787;21.3793;16.502;1346;203;50;49.2413;579;172;398;172;0.851;80;75.4137
53;Sapajus_nigritus;Sapajus_nigritus;-19.7982;-40.6828;Forest;AF;19;9.5127;2.2517;22.2565;10.5023;63.0695;197.2624;30.176;13.524;16.652;23.7753;19.7107;24.624;19.7107;1247;198;42;55.0461;564;142;373;142;0.851;80;75.4137
54;Sapajus_robustus;Sapajus_robustus_5;-19.5883;-40.5419;Forest;AF;18;10.5583;2.3569;22.7165;10.3663;63.1477;195.3465;30.556;14.14;16.416;24.212;20.682;25.0593;20.2027;1227;194;40;55.3148;555;139;372;139;0.851;80;75.4137
55;Sapajus_robustus;Sapajus_robustus_4;-18.9135;-42.0949;Forest;AF;18;9.824;2.2845;23.8628;11.767;66.6459;189.8575;31.924;14.268;17.656;25.288;21.2613;26.0273;21.2613;1179;221;16;77.3205;622;55;442;55;0.908;76;77.7528
56;Sapajus_robustus;Sapajus_robustus_3;-18.5794;-40.0782;Forest;AF;18;10.2391;2.3262;23.748;9.8253;63.7016;181.5335;31.2;15.776;15.424;25.0647;21.398;25.9087;21.398;1216;170;43;45.8391;496;156;362;156;1.011;81;57.3008
57;Sapajus_robustus;Sapajus_robustus_2;-17.9768;-39.9636;Forest;AF;18;9.6236;2.258;24.011;9.5847;64.9544;175.0557;31.136;16.38;14.756;25.292;21.6993;26.064;21.6993;1237;162;55;37.9594;465;183;357;183;1.087;80;65.8248
58;Sapajus_robustus;Sapajus_robustus;-17.5018;-39.3346;Forest;AF;18;8.4514;2.1335;24.4858;8.413;64.9151;162.0851;30.888;17.928;12.96;24.9267;22.418;26.416;22.418;1358;162;73;22.5733;429;263;333;263;1.087;81;84.5708
59;Sapajus_xanthosternos;Sapajus_xanthosternos_3;-19.8493;-43.9036;Forest;AF;8;8.4753;2.1372;21.3497;12.3293;68.4355;188.2697;29.412;11.396;18.016;22.802;18.7733;23.2867;18.7733;1476;312;12;87.2277;821;43;625;43;0.971;74;80.0063
60;Sapajus_xanthosternos;Sapajus_xanthosternos_2;-15.8202;-39.0976;Forest;AF;8;9.3574;2.2362;24.1113;7.4847;63.1937;158.5652;29.772;17.928;11.844;24.5367;23.088;25.892;22.13;1518;152;101;12.6798;408;328;361;373;1.002;81;73.7802
61;Sapajus_xanthosternos;Sapajus_xanthosternos;-10.4749;-40.1362;Forest;AF;8;9.6915;2.2679;23.5923;10.8013;71.2677;162.8196;31.236;16.08;15.156;24.6993;22.826;25.106;21.2673;789;107;23;40.8391;282;86;260;149;0.251;66;28.4098
