Bioma,Specie,Sesso,analisar,local,ordemTPS,long,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AET,NPP,CHMmais2
AF,Sapajus_nigritus,F,y,64,161,-49.933,-21.45,1.342422681,2.103803721,1.812913357,3.379305518,2.481442629,2.033423755,2.290034611,2.389166084,2.271841607,2.389166084,2.267171728,3.084933575,2.336459734,1.278753601,1.812913357,2.769377326,1.944482672,2.769377326,2.068185862,1.950593634,-0.076755981,0.301029996
AF,Sapajus_nigritus,F,y,63,162,-49.733,-21.667,1.33243846,2.103803721,1.806179974,3.388456453,2.477121255,2.017033339,2.292256071,2.383815366,2.260071388,2.383815366,2.255272505,3.10002573,2.320146286,1.397940009,1.785329835,2.770115295,2.029383778,2.770115295,2.149219113,1.947568511,-0.076755981,0.301029996
AF,Sapajus_nigritus,M,y,61,163,-52.617,-22.283,1.361727836,2.096910013,1.806179974,3.386142109,2.499687083,2.089905111,2.285557309,2.408239965,2.322219295,2.408239965,2.290034611,3.077004327,2.201397124,1.491361694,1.633468456,2.658964843,2.146128036,2.658964843,2.252853031,1.937338327,-0.164943889,1.079181246
AF,Sapajus_nigritus,M,y,63,164,-49.733,-21.667,1.33243846,2.103803721,1.806179974,3.388456453,2.477121255,2.017033339,2.292256071,2.383815366,2.260071388,2.383815366,2.255272505,3.10002573,2.320146286,1.397940009,1.785329835,2.770115295,2.029383778,2.770115295,2.149219113,1.947568511,-0.076755981,0.301029996
AM,Sapajus_apella,M,y,3,165,-63.467,-8.75,1.414973348,2.012837225,1.857332496,2.762678564,2.51851394,2.271841607,2.155336037,2.411619706,2.408239965,2.426511261,2.401400541,3.359835482,2.558708571,1.361727836,1.799340549,3.004321374,1.991226076,2.699837726,2.274157849,2.038624145,-0.069050976,1.491361694
AM,Sapajus_apella,M,y,3,166,-63.467,-8.75,1.414973348,2.012837225,1.857332496,2.762678564,2.51851394,2.271841607,2.155336037,2.411619706,2.408239965,2.426511261,2.401400541,3.359835482,2.558708571,1.361727836,1.799340549,3.004321374,1.991226076,2.699837726,2.274157849,2.038624145,-0.069050976,1.491361694
AF,Sapajus_nigritus,F,y,57,167,-53.167,-22.717,1.356025857,2.11058971,1.812913357,3.388278863,2.501059262,2.075546961,2.29666519,2.387389826,2.315970345,2.403120521,2.283301229,3.102090526,2.240549248,1.505149978,1.602059991,2.663700925,2.193124598,2.646403726,2.326335861,1.963978954,-0.08937559,1.113943352
AF,Sapajus_nigritus,F,y,58,168,-53.167,-22.717,1.356025857,2.11058971,1.812913357,3.388278863,2.501059262,2.075546961,2.29666519,2.387389826,2.315970345,2.403120521,2.283301229,3.102090526,2.240549248,1.505149978,1.602059991,2.663700925,2.193124598,2.646403726,2.326335861,1.963978954,-0.08937559,1.113943352
AF,Sapajus_nigritus,F,y,48,169,-52.4,-25.4,1.243038049,2.089905111,1.77815125,3.482015576,2.436162647,1.832508913,2.311753861,2.322219295,2.250420002,2.322219295,2.127104798,3.254064453,2.290034611,2.017033339,1.322219295,2.711807229,2.582063363,2.711807229,2.618048097,1.809224289,-0.109578976,0.301029996
AF,Sapajus_nigritus,M,y,47,170,-48.65,-25.833,1.315970345,1.875061263,1.672097858,3.448860846,2.459392488,2.113943352,2.198657087,2.385606274,2.23299611,2.385606274,2.23299611,3.296006669,2.45331834,1.924279286,1.612783857,2.911690159,2.42975228,2.911690159,2.42975228,1.920268407,0.035429753,0.301029996
AF,Sapajus_nigritus,F,y,46,171,-51.983,-26.483,1.201397124,2.100370545,1.763427994,3.491641793,2.419955748,1.672097858,2.334453751,2.158362492,2.257678575,2.29666519,2.079181246,3.287577809,2.326335861,2.017033339,1.301029996,2.749736316,2.646403726,2.677606953,2.660865478,1.813410847,0.059184628,0.301029996
AF,Sapajus_nigritus,F,y,49,172,-49.95,-24.667,1.225309282,2.068185862,1.763427994,3.418301291,2.418301291,1.792391689,2.301029996,2.298853076,2.1430148,2.303196057,2.123851641,3.184975191,2.292256071,1.886490725,1.414973348,2.711807229,2.437750563,2.697229343,2.488550717,1.807422017,0.037027875,1.204119983
AF,Sapajus_nigritus,M,y,52,173,-53.317,-23.75,1.318063335,2.113943352,1.792391689,3.446692466,2.485721426,1.995635195,2.315970345,2.380211242,2.260071388,2.380211242,2.227886705,3.176958981,2.222716471,1.819543936,1.380211242,2.665580991,2.437750563,2.665580991,2.515873844,1.887612819,-0.170696219,0.301029996
AF,Sapajus_nigritus,M,y,51,174,-51.967,-23.933,1.322219295,2.089905111,1.785329835,3.461348434,2.481442629,2.008600172,2.303196057,2.385606274,2.26245109,2.385606274,2.230448921,3.173477643,2.307496038,1.819543936,1.568201724,2.726727209,2.397940009,2.726727209,2.469822016,1.91755381,0.043755106,1.230448921
